feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out
Cd79a,0,2.389410564,2.130802607,50089217.5,0.942524179,0,0,96.0465583,14.53352086
Ebf1,0,2.797170723,2.072622547,49274203,0.927188126,0,0,98.61529199,38.35911861
Cd74,0,4.588738061,3.294674841,49225012,0.926262504,0,0,99.95986354,56.83075481
H2-Aa,0,3.860334204,2.989969137,49160085.5,0.925040788,0,0,99.65884006,41.51898734
H2-Ab1,0,3.639969821,2.797253591,48879221,0.919755787,0,0,99.61870359,41.10642288
H2-Eb1,0,3.394457855,2.652649493,48763712,0.917582264,0,0,99.35781658,35.52742616
Ighm,0,2.387862568,1.806694123,47061783,0.885557224,0,0,93.81898455,32.49882794
Cd83,0,2.106960357,1.730007273,46927368,0.883027949,0,0,89.98595224,22.88795124
Rps27,0,4.296012602,1.141380483,46774610,0.880153516,0,0,99.33774834,95.72433193
Fau,0,4.32101152,1.06472475,46507390.5,0.875125271,0,0,99.29761188,96.49320206
Fabp4,1,3.199871844,3.116898947,17939970,0.9651821,0,0,94.05405405,6.437678534
Plvap,1,2.972268529,2.898792432,17760476,0.955525206,0,0,92.12355212,6.221695813
Flt1,1,2.614537017,2.575109328,17686229,0.951530669,0,0,91.04247104,3.002856546
Pecam1,1,2.313070723,2.10454683,17517939,0.942476557,0,0,91.73745174,16.57493207
Tm4sf1,1,2.60922743,2.391959384,17381378,0.935129486,0,0,91.35135135,15.36960914
Cdh5,1,1.876136494,1.823211808,17220063.5,0.926450661,0,0,86.94980695,3.657771894
Ly6c1,1,2.294024938,2.127847368,17212293.5,0.92603263,0,0,89.03474903,12.48519473
Ptprb,1,1.987370348,1.889328029,17145482.5,0.922438154,0,0,86.87258687,9.015536822
Adgrf5,1,1.765416192,1.714741943,17116174.5,0.920861365,0,0,85.94594595,3.699575002
Esam,1,1.658387537,1.584344982,16818920.5,0.904868905,0,0,83.62934363,5.78973037
Igha,10,2.81112359,1.1354606,4882694.5,0.744480354,1.21E-67,1.30E-64,84.22273782,83.327857
Krt8,10,1.756539776,1.547504959,4676192.5,0.71299432,4.11E-113,1.33E-108,51.27610209,16.95472169
S100a6,10,2.186686693,1.037949423,4417038,0.673480188,4.06E-39,3.98E-37,67.51740139,50.78530591
Igkc,10,3.484720639,0.781585509,4402449,0.671255756,5.91E-34,3.88E-32,90.71925754,92.44923441
Krt19,10,1.254832507,1.115989734,4379636.5,0.66777746,2.35E-92,1.52E-88,41.06728538,12.17059867
Fos,10,2.999701943,0.845981323,4304489.5,0.656319552,8.63E-29,3.97E-27,86.774942,79.35204048
Dstn,10,1.524588585,0.933919749,4284723,0.653305689,1.64E-34,1.14E-32,52.4361949,39.97502793
Lgals4,10,1.143810907,1.01939717,4257574.5,0.649166269,6.46E-78,1.49E-74,37.12296984,11.37543537
Mt1,10,1.648137415,0.81684143,4176964.5,0.636875399,3.43E-27,1.39E-25,57.54060325,41.85450483
Pigr,10,0.949175022,0.849562548,4139665,0.631188223,6.52E-74,1.00E-70,32.48259861,8.970230663
H2-Aa,11,4.173320878,2.411382256,5246707.5,0.875149181,2.54E-152,8.21E-148,100,59.00360538
H2-Ab1,11,3.975777801,2.300061148,5232944,0.872853434,1.03E-150,1.67E-146,99.74554707,58.70862012
H3f3a,11,3.345578936,1.041789481,5142051.5,0.857692593,5.46E-130,4.41E-126,98.9821883,92.29760734
Cd74,11,4.756242723,2.475176672,5083641.5,0.847949823,3.15E-126,2.04E-122,100,69.80662078
H2-Eb1,11,3.614302949,2.080015921,5069061.5,0.845517884,1.30E-132,1.40E-128,99.23664122,54.73615208
Cd79a,11,2.344478174,1.443586218,4794350.5,0.799696174,8.65E-116,4.65E-112,94.65648855,39.09537856
Rpl13,11,4.378368314,0.670727569,4767829.5,0.79527248,3.65E-89,1.31E-85,99.74554707,98.01376598
Rps7,11,3.918906085,0.820085178,4765293,0.794849392,6.36E-89,2.05E-85,98.9821883,95.12291052
Rps24,11,4.675135184,0.765228528,4764552,0.794725794,7.69E-89,2.26E-85,99.49109415,98.4201901
Rpl12,11,3.953366708,0.872527543,4763045.5,0.79447451,1.06E-88,2.70E-85,99.23664122,95.16879712
Actb,12,4.714695587,1.48717343,5014198,0.933873595,1.42E-170,8.84E-168,99.43019943,97.96038439
Tmsb4x,12,5.552108404,1.818221792,4973519,0.9262973,9.74E-165,5.61E-162,99.71509972,98.50297444
Atox1,12,2.282128971,1.744858835,4700427.5,0.87543514,6.78E-157,3.71E-154,87.46438746,41.98862522
Actg1,12,3.608203137,1.45439848,4698740,0.87512085,3.97E-128,1.64E-125,97.15099715,90.16146957
Lsp1,12,2.015674425,1.395523119,4535018,0.844628306,2.91E-127,1.19E-124,84.33048433,45.89788847
Cst3,12,3.242817953,2.217965629,4531977,0.844061933,1.41E-116,5.28E-114,87.46438746,57.18768386
H2-Eb1,12,3.489602494,1.946743162,4401634,0.819786089,3.42E-102,1.07E-99,89.74358974,55.07615872
Basp1,12,1.702353583,1.462205853,4401119.5,0.819690266,1.78E-200,1.52E-197,74.07407407,17.34980715
Ifi30,12,1.707191281,1.353639725,4382326.5,0.816190147,3.67E-144,1.77E-141,76.06837607,27.09681637
Sh3bgrl3,12,2.298998007,1.180336823,4355638.5,0.811219618,1.17E-91,3.16E-89,87.46438746,67.56226711
Rgs5,13,4.807106045,4.607878364,5006192.5,0.996265144,0,0,100,11.65796345
Gm13889,13,2.922891763,2.676081333,4876588,0.970472999,0,0,97.56097561,16.08355091
Pdgfrb,13,2.224411725,2.085322006,4835733.5,0.962342685,0,0,94.51219512,12.81331593
Notch3,13,1.968591464,1.92564603,4803080.5,0.955844524,0,0,92.98780488,2.506527415
Myo1b,13,1.94578935,1.845686366,4772771,0.949812735,0,0,92.37804878,9.08616188
Cald1,13,2.667374779,2.184654067,4672868.5,0.929931482,2.80E-251,1.21E-248,96.64634146,26.17493473
Abcc9,13,1.796978326,1.734478185,4662393,0.927846789,0,0,87.80487805,5.424281984
Des,13,1.749138316,1.647535038,4650616.5,0.925503188,0,0,89.32926829,7.408616188
